Interest over time
Week lady gaga
2009-04-05 - 2009-04-11,23
2009-04-12 - 2009-04-18,18
2009-04-19 - 2009-04-25,18
2009-04-26 - 2009-05-02,24
2009-05-03 - 2009-05-09,16
2009-05-10 - 2009-05-16,19
2009-05-17 - 2009-05-23,21
2009-05-24 - 2009-05-30,28
2009-05-31 - 2009-06-06,28
2009-06-07 - 2009-06-13,26
2009-06-14 - 2009-06-20,29
2009-06-21 - 2009-06-27,28
2009-06-28 - 2009-07-04,27
2009-07-05 - 2009-07-11,33
2009-07-12 - 2009-07-18,27
2009-07-19 - 2009-07-25,26
2009-07-26 - 2009-08-01,26
2009-08-02 - 2009-08-08,29
2009-08-09 - 2009-08-15,39
2009-08-16 - 2009-08-22,34
2009-08-23 - 2009-08-29,25
2009-08-30 - 2009-09-05,25
2009-09-06 - 2009-09-12,25
2009-09-13 - 2009-09-19,91
2009-09-20 - 2009-09-26,42
2009-09-27 - 2009-10-03,35
2009-10-04 - 2009-10-10,40
2009-10-11 - 2009-10-17,29
2009-10-18 - 2009-10-24,29
2009-10-25 - 2009-10-31,35
2009-11-01 - 2009-11-07,32
2009-11-08 - 2009-11-14,33
2009-11-15 - 2009-11-21,42
2009-11-22 - 2009-11-28,69
2009-11-29 - 2009-12-05,52
2009-12-06 - 2009-12-12,54
2009-12-13 - 2009-12-19,47
2009-12-20 - 2009-12-26,58
2009-12-27 - 2010-01-02,65
2010-01-03 - 2010-01-09,56
2010-01-10 - 2010-01-16,50
2010-01-17 - 2010-01-23,46
2010-01-24 - 2010-01-30,43
2010-01-31 - 2010-02-06,81
2010-02-07 - 2010-02-13,46
2010-02-14 - 2010-02-20,47
2010-02-21 - 2010-02-27,39
2010-02-28 - 2010-03-06,52
2010-03-07 - 2010-03-13,47
2010-03-14 - 2010-03-20,57
2010-03-21 - 2010-03-27,46
2010-03-28 - 2010-04-03,45
2010-04-04 - 2010-04-10,38
2010-04-11 - 2010-04-17,36
2010-04-18 - 2010-04-24,33
2010-04-25 - 2010-05-01,33
2010-05-02 - 2010-05-08,37
2010-05-09 - 2010-05-15,37
2010-05-16 - 2010-05-22,32
2010-05-23 - 2010-05-29,36
2010-05-30 - 2010-06-05,39
2010-06-06 - 2010-06-12,41
2010-06-13 - 2010-06-19,33
2010-06-20 - 2010-06-26,47
2010-06-27 - 2010-07-03,42
2010-07-04 - 2010-07-10,42
2010-07-11 - 2010-07-17,35
2010-07-18 - 2010-07-24,30
2010-07-25 - 2010-07-31,31
2010-08-01 - 2010-08-07,39
2010-08-08 - 2010-08-14,38
2010-08-15 - 2010-08-21,32
2010-08-22 - 2010-08-28,26
2010-08-29 - 2010-09-04,26
2010-09-05 - 2010-09-11,32
2010-09-12 - 2010-09-18,100
2010-09-19 - 2010-09-25,43
2010-09-26 - 2010-10-02,32
2010-10-03 - 2010-10-09,31
2010-10-10 - 2010-10-16,29
2010-10-17 - 2010-10-23,28
2010-10-24 - 2010-10-30,33
2010-10-31 - 2010-11-06,27
2010-11-07 - 2010-11-13,21
2010-11-14 - 2010-11-20,18
2010-11-21 - 2010-11-27,19
2010-11-28 - 2010-12-04,17
2010-12-05 - 2010-12-11,18
2010-12-12 - 2010-12-18,19
2010-12-19 - 2010-12-25,23
2010-12-26 - 2011-01-01,25
2011-01-02 - 2011-01-08,24
2011-01-09 - 2011-01-15,16
2011-01-16 - 2011-01-22,16
2011-01-23 - 2011-01-29,15
2011-01-30 - 2011-02-05,15
2011-02-06 - 2011-02-12,22
2011-02-13 - 2011-02-19,76
2011-02-20 - 2011-02-26,29
2011-02-27 - 2011-03-05,30
2011-03-06 - 2011-03-12,22
2011-03-13 - 2011-03-19,22
2011-03-20 - 2011-03-26,21
2011-03-27 - 2011-04-02,21
2011-04-03 - 2011-04-09,19
2011-04-10 - 2011-04-16,22
2011-04-17 - 2011-04-23,28
2011-04-24 - 2011-04-30,22
2011-05-01 - 2011-05-07,21
2011-05-08 - 2011-05-14,37
2011-05-15 - 2011-05-21,32
2011-05-22 - 2011-05-28,53
2011-05-29 - 2011-06-04,33
2011-06-05 - 2011-06-11,38
2011-06-12 - 2011-06-18,26
2011-06-19 - 2011-06-25,24
2011-06-26 - 2011-07-02,20
2011-07-03 - 2011-07-09,18
2011-07-10 - 2011-07-16,17
2011-07-17 - 2011-07-23,21
2011-07-24 - 2011-07-30,22
2011-07-31 - 2011-08-06,18
2011-08-07 - 2011-08-13,18
2011-08-14 - 2011-08-20,20
2011-08-21 - 2011-08-27,21
2011-08-28 - 2011-09-03,79
2011-09-04 - 2011-09-10,29
2011-09-11 - 2011-09-17,21
2011-09-18 - 2011-09-24,20
2011-09-25 - 2011-10-01,19
2011-10-02 - 2011-10-08,18
2011-10-09 - 2011-10-15,18
2011-10-16 - 2011-10-22,19
2011-10-23 - 2011-10-29,21
2011-10-30 - 2011-11-05,16
2011-11-06 - 2011-11-12,14
2011-11-13 - 2011-11-19,15
2011-11-20 - 2011-11-26,22
2011-11-27 - 2011-12-03,24
2011-12-04 - 2011-12-10,18
2011-12-11 - 2011-12-17,16
2011-12-18 - 2011-12-24,15
2011-12-25 - 2011-12-31,20
2012-01-01 - 2012-01-07,24
2012-01-08 - 2012-01-14,14
2012-01-15 - 2012-01-21,12
2012-01-22 - 2012-01-28,11
2012-01-29 - 2012-02-04,10
2012-02-05 - 2012-02-11,12
2012-02-12 - 2012-02-18,19
2012-02-19 - 2012-02-25,11
2012-02-26 - 2012-03-03,11
2012-03-04 - 2012-03-10,11
2012-03-11 - 2012-03-17,12
2012-03-18 - 2012-03-24,12
2012-03-25 - 2012-03-31,12
2012-04-01 - 2012-04-07,11
2012-04-08 - 2012-04-14,10
2012-04-15 - 2012-04-21,10
2012-04-22 - 2012-04-28,9
2012-04-29 - 2012-05-05,10
2012-05-06 - 2012-05-12,9
2012-05-13 - 2012-05-19,9
2012-05-20 - 2012-05-26,10
2012-05-27 - 2012-06-02,9
2012-06-03 - 2012-06-09,8
2012-06-10 - 2012-06-16,10
2012-06-17 - 2012-06-23,9
2012-06-24 - 2012-06-30,8
2012-07-01 - 2012-07-07,9
2012-07-08 - 2012-07-14,8
2012-07-15 - 2012-07-21,10
2012-07-22 - 2012-07-28,9
2012-07-29 - 2012-08-04,9
2012-08-05 - 2012-08-11,10
2012-08-12 - 2012-08-18,8
2012-08-19 - 2012-08-25,9
2012-08-26 - 2012-09-01,8
2012-09-02 - 2012-09-08,8
2012-09-09 - 2012-09-15,9
2012-09-16 - 2012-09-22,14
2012-09-23 - 2012-09-29,18
2012-09-30 - 2012-10-06,14
2012-10-07 - 2012-10-13,12
2012-10-14 - 2012-10-20,9
2012-10-21 - 2012-10-27,9
2012-10-28 - 2012-11-03,10
2012-11-04 - 2012-11-10,10
2012-11-11 - 2012-11-17,9
2012-11-18 - 2012-11-24,10
2012-11-25 - 2012-12-01,8
2012-12-02 - 2012-12-08,7
2012-12-09 - 2012-12-15,7
2012-12-16 - 2012-12-22,7
2012-12-23 - 2012-12-29,8
2012-12-30 - 2013-01-05,8
2013-01-06 - 2013-01-12,7
2013-01-13 - 2013-01-19,9
2013-01-20 - 2013-01-26,8
2013-01-27 - 2013-02-02,7
2013-02-03 - 2013-02-09,7
2013-02-10 - 2013-02-16,8
2013-02-17 - 2013-02-23,7
2013-02-24 - 2013-03-02,5
2013-03-03 - 2013-03-09,5
2013-03-10 - 2013-03-16,6
2013-03-17 - 2013-03-23,6
2013-03-24 - 2013-03-30,6
2013-03-31 - 2013-04-06,6
2013-04-07 - 2013-04-13,5
2013-04-14 - 2013-04-20,5
2013-04-21 - 2013-04-27,4
2013-04-28 - 2013-05-04,5
2013-05-05 - 2013-05-11,5
2013-05-12 - 2013-05-18,5
2013-05-19 - 2013-05-25,5
2013-05-26 - 2013-06-01,5
2013-06-02 - 2013-06-08,5
2013-06-09 - 2013-06-15,5
2013-06-16 - 2013-06-22,5
2013-06-23 - 2013-06-29,5
2013-06-30 - 2013-07-06,5
2013-07-07 - 2013-07-13,5
2013-07-14 - 2013-07-20,5
2013-07-21 - 2013-07-27,9
2013-07-28 - 2013-08-03,8
2013-08-04 - 2013-08-10,12
2013-08-11 - 2013-08-17,12
2013-08-18 - 2013-08-24,12
2013-08-25 - 2013-08-31,50
2013-09-01 - 2013-09-07,15
2013-09-08 - 2013-09-14,12
2013-09-15 - 2013-09-21,9
2013-09-22 - 2013-09-28,9
2013-09-29 - 2013-10-05,8
2013-10-06 - 2013-10-12,9
2013-10-13 - 2013-10-19,8
2013-10-20 - 2013-10-26,10
2013-10-27 - 2013-11-02, 
